Período;Período.Format.2;Região;Instituição;Localização Geográfica;Urgências Geral;Urgências Pediátricas;Urgência Obstetricia;Urgência Psiquiátrica;Total Urgências
2013-01;2013/01/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;12843;7032;862;;20737
2013-01;2013/01/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;5190;1897;145;;7232
2013-01;2013/01/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;13787;3778;1287;;18852
2013-01;2013/01/01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;11005;2944;236;;14185
2013-01;2013/01/01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;4484;2873;;;7357
2013-02;2013/02/01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;18612;6494;2310;;27416
2013-02;2013/02/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;14069;;;;14069
2013-02;2013/02/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;24041;8348;2045;;34434
2013-03;2013/03/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;15251;5288;381;;20920
2013-03;2013/03/01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;19247;11133;2988;;33368
2013-03;2013/03/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;38163;15138;3219;;56520
2013-03;2013/03/01;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;30525;14405;2708;;47638
2013-03;2013/03/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;28738;;2918;;31656
2013-03;2013/03/01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;20404;;;;20404
2013-04;2013/04/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;27342;3856;324;;31522
2013-04;2013/04/01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;20176;6811;504;;27491
2013-04;2013/04/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;40340;15106;3301;;58747
2013-04;2013/04/01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;33526;13051;2279;;48856
2013-04;2013/04/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;47292;14799;4205;;66296
2013-05;2013/05/01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;62337;32647;4204;;99188
2013-05;2013/05/01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;50544;19165;4132;;73841
2013-05;2013/05/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;54069;16065;2373;;72507
2013-05;2013/05/01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;83646;27582;11309;;122537
2013-05;2013/05/01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;66307;17758;6303;;90368
2013-05;2013/05/01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;33683;16091;3527;;53301
2013-05;2013/05/01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;35881;18566;6841;;61288
2013-05;2013/05/01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;59208;17992;5359;;82559
2013-05;2013/05/01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;53696;18332;4925;;76953
2013-06;2013/06/01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;61484;18390;6947;;86821
2013-06;2013/06/01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;34916;6675;1848;;43439
2013-06;2013/06/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;74323;28052;6424;;108799
2013-06;2013/06/01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;49985;19795;3523;;73303
2013-06;2013/06/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;56904;22953;5768;;85625
2013-06;2013/06/01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;36033;;3815;;39848
2013-06;2013/06/01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;64321;12160;2379;;78860
2013-07;2013/07/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;60450;9676;2355;;72481
2013-07;2013/07/01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;53768;;;;53768
2013-07;2013/07/01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;75849;22387;3362;;101598
2013-07;2013/07/01;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;88021;31925;7453;;127399
2013-07;2013/07/01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;50779;25405;9735;;85919
2013-07;2013/07/01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;69349;;7297;;76646
2013-07;2013/07/01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;67667;26063;6912;;100642
